stamp	navigation_system	satellite_num	satellite_frequency 1 3 3	elevation	azimuth	
     2	5	186	171	0	44	42496
     0	26	195	153	0	50	55808
     2	15	132	112	0	22	9216
     4	193	170	172	0	43	43264
     5	14	183	200	0	55	50688
     0	32	179	134	0	65	27904
     3	19	161	166	126	80	44544
     5	3	154	180	0	50	49920
     5	4	129	142	0	31	30976
     3	1	187	179	138	57	64000
     1	128	120	0	0	211	0
     1	137	150	0	0	43	34816
     1	129	150	0	0	43	34816
    10	14	184	0	0	43	35328
--------------------------
1568299133.054
     5	10	163	186	0	48	57600
     5	7	171	158	0	72	57088
     2	9	122	0	0	26	65024
     5	1	153	184	0	46	36608
     0	22	110	0	0	25	10753
     0	29	124	0	0	27	24064
     2	5	186	173	0	44	42496
     0	26	196	151	0	50	55808
     2	15	130	112	0	22	9216
     4	193	170	172	0	43	43264
     5	14	183	198	0	55	50688
     0	32	176	134	0	65	27904
     3	19	161	165	125	80	44544
     5	3	153	179	0	50	49920
     5	4	129	0	0	31	30976
     3	1	188	178	138	57	64000
     1	128	117	0	0	36	59648
     1	137	151	0	0	43	34816
     1	129	150	0	0	43	34816
    10	14	184	0	0	43	35328
--------------------------
1568299134.050
     5	10	166	186	0	48	57600
     5	7	169	159	0	72	57088
     2	9	118	0	0	26	65024
     5	1	154	182	0	46	36608
     0	22	113	0	0	25	10753
     0	29	126	0	0	27	24064
     2	5	186	175	0	44	42496
     0	26	196	152	0	50	55808
     2	15	132	114	0	22	9216
     4	193	170	172	0	43	43264
     5	14	181	199	0	55	50688
     0	32	176	135	0	65	27904
     3	19	159	165	126	80	44544
     5	3	154	179	0	50	49920
     3	1	187	178	136	57	64000
     1	128	115	0	0	36	59648
     1	137	150	0	0	43	34816
     1	129	155	0	0	43	34816
    10	14	184	0	0	43	35328
--------------------------
1568299135.045
     5	10	164	185	0	48	57600
     5	7	170	157	0	72	57088
     2	9	117	0	0	26	65024
     5	1	153	180	0	46	36608
     0	22	113	0	0	25	10753
     0	29	123	0	0	27	24064
     2	5	187	175	0	44	42496
     0	26	197	154	0	50	55808
     2	15	128	113	0	22	9216
     4	193	170	172	0	43	43264
     5	14	181	198	0	55	50688
     0	32	176	137	0	65	27904
     3	19	159	164	122	80	44544
     5	3	153	180	0	50	49920
     5	4	126	0	0	31	30976
     3	1	186	178	139	57	64000
     1	128	115	0	0	211	0
     1	137	150	0	0	43	34816
     1	129	151	0	0	43	34816
    10	14	186	0	0	43	35328
--------------------------
1568299136.042
     5	10	163	185	0	48	57600
     5	7	170	158	0	72	57344
     2	9	117	0	0	26	65024
     5	1	153	180	0	46	36608
